ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG,SEMI_MAJ_ARCSEC,SEMI_MIN_ARCSEC
1506,24d11m9.6s,15d47m1.0s,582,493,552,70,4,89,2.78,24.186,15.78361111111111,12.19980866217582,10.334202182908383
761,24d10m12.6s,15d48m9.6s,404,332,380,-50,2,83,3.33,24.170166666666667,15.802666666666667,8.468595703640947,6.9593410237841455
427,24d09m50.0s,15d48m8.5s,381,282,348,-60,2,153,3.61,24.163888888888888,15.802361111111113,7.986472680908913,5.91124749610581
1450,24d11m5.8s,15d47m17.7s,307,240,285,-50,2,-230,4.6,24.184944444444444,15.78825,6.435294259944977,5.030848932856008
1126,24d10m36.2s,15d45m52.7s,296,251,281,-50,4,119,3.3,24.176722222222224,15.76463888888889,6.2047136838557435,5.261429508945242
1222,24d10m42.2s,15d46m47.1s,294,182,256,-50,4,-196,1.2,24.17838888888889,15.77975,6.16278994274861,3.8150604407491397
98,24d09m20.8s,15d48m1.4s,260,187,236,70,3,-74,4.15,24.155777777777775,15.80038888888889,5.450086343927342,3.9198697935169733
1357,24d10m54.5s,15d47m15.3s,256,154,222,-79,4,-87,1.71,24.181805555555556,15.787583333333334,5.366238861713075,3.228128065249272
1611,24d11m22.2s,15d46m40.9s,255,222,244,70,4,150,2.86,24.1895,15.778027777777778,5.345276991159508,4.653535262891808
811,24d10m14.7s,15d46m27.8s,250,186,229,20,2,106,1.67,24.17075,15.77438888888889,5.240467638391675,3.8989079229634065
460,24d09m51.4s,15d46m7.8s,248,152,216,0,4,-31,3.0,24.164277777777777,15.768833333333335,5.198543897284542,3.1862043241421385
482,24d09m52.5s,15d45m53.2s,245,190,227,0,4,92,3.59,24.164583333333333,15.764777777777777,5.135658285623842,3.9827554051776732
1078,24d10m33.8s,15d48m9.8s,242,178,221,-30,2,76,3.3,24.176055555555557,15.802722222222222,5.072772673963142,3.731212958534873
949,24d10m26.3s,15d47m0.5s,241,183,222,0,4,218,0.03,24.173972222222222,15.783472222222223,5.051810803409575,3.836022311302706
1312,24d10m48.4s,15d47m26.7s,238,185,220,-65,2,77,3.36,24.180111111111113,15.79075,4.988925191748875,3.8779460524098397
110,24d09m22.7s,15d47m12.0s,230,171,211,50,3,-68,2.95,24.156305555555555,15.786666666666667,4.821230227320341,3.584479864659906
10,24d08m59.3s,15d48m6.1s,209,171,196,0,3,112,5.04,24.149805555555556,15.801694444444445,4.38103094569544,3.584479864659906
26,24d09m4.3s,15d48m11.1s,204,142,183,70,3,83,5.02,24.151194444444442,15.803083333333333,4.276221592927607,2.976585618606472
255,24d09m39.5s,15d46m51.8s,204,115,174,-10,2,59,2.18,24.16097222222222,15.781055555555556,4.276221592927607,2.4106151136601706
736,24d10m10.7s,15d48m35.7s,197,130,175,0,1,83,4.56,24.16963888888889,15.809916666666668,4.12948849905264,2.725043171963671
